relative_path,sha256,size_bytes
FrenchyShona_V2_five_additions_multilingual_audit.xlsx,591b1830e345330a92f32c00fa318f921e91f6cd7a59ecb14a05bd2508d4daa3,24462
FrenchyShona_V2_v7_4_multilingual_release.csv,29b12603ce20909cec029c2c9da83feb8263450e47b3ca0f7f2896bd1c66fc8f,1465584
FrenchyShona_V2_v7_4_multilingual_release_core13.csv,b1137eebc77b9dc75042e8b00109198e55808a1f43d8b2e975a7badb25ea64d9,806626
MULTILINGUAL_PUBLIC_RELEASE_GATE.csv,7f781132f735b41754e5ea2245938c3eba2f02e84a43fec80fdd5fdc4376edcc,355
PART2_START_GATE.csv,5a579c684ceee95c679a6ca9c07f9258307fbe4428180ebcd9391c63d60c1202,376
audit/google_runtime_supported_languages.csv,2245d54bcb509adfdfe53e3cadc9eba889f54ee2b2b09b94ad0fc9c6ccada4ad,1574
audit/input_file_manifest.csv,86dba241d14b69421d40cfa7a366f5c9a3f92ba4d7f6b6a40625a5136a5f8210,1234
audit/release_changed_rows_and_fields.csv,e622330be246f1d96485fc7fdc998a8718186dcef0e82f60b3e1dff6e680cc26,391
audit/release_vs_frozen_invariance.csv,6781c7b03f9b11d08ca735859b91e8cfc0b6d35e85de0458ce8110fdb5c9f9e3,1145
figures/fig_ciluba_translation_methods.png,d1d01c90e2dc5af6e216ae64cfdb7adb39b197d3392dcc36a5eac41756595263,84213
figures/fig_five_additions_translation_completion.png,e1c0fbd9eaa5d8de884e4c48f594997cd4ff0f332351b9282f9f8baf99d2f9ab,110504
figures/fig_google_direct_pivot_agreement.png,3769415052cd44c198ad091dc94658997eba60673c5f3849f3f4797b66887805,94416
output_inventory.csv,61c2dd5489252d6f7a3b8ddf34a020b18d446e161d3dc08d75ca7230f6958d25,2784
tables/ciluba_translation_audit.csv,57451483dd5374c305cddb62b7253d5a58cb4bc699aa0b9579a2efde727fbe77,76641
tables/current_paper_lexicon_concept_matches.csv,036ef3e68567a66c2c516f280eb01dd7a610ca1fa8deaf8aa3350931b3850462,5334
tables/five_additions_multilingual_release.csv,7545c633f208f6a2c0544cb2651b9023a37cd35b885cbe44c3f96a1e1ca1ebcb,859
tables/five_additions_source_metadata.csv,09c1dcc2fde0465fc801bcc106aad07a3008a97d87ea57666d859894c3560f83,4486
tables/five_additions_translation_selection_audit.csv,c8ef0382dac5e38169a2b8bbdb979248bbac73ddc8c912a8f446448c1721fba7,3588
tables/fresh_google_direct_pivot_agreement.csv,5ba7b8c4d9a7f1b2e5869f363c2efc3dbdbe2822cbf70afe83915b7172c22ebf,162
tables/fresh_google_translation_attempts.csv,ee818c19bfdb51da6a9045d275b97d0d850d7a63ecaec801cb30dd7294d70fdf,4312
tables/fresh_google_translation_summary.csv,f4d8c0159395114e2bedfc97684ee2d7480261e678e461b9cfb835794e259e11,2592
tables/fresh_translation_vs_current_paper_comparison.csv,3624c703c01a7042b4f6a3bac88fa317b1cf59bcdcc7c74bd11feaea9c3f39f0,668
tables/provisional_or_unresolved_translation_fields.csv,702a0327f8f88f28d54793f51a8107cb88872eb03d63ffb6a3943976ce72868f,733
tables/translation_completion_summary.csv,5b3615c3eb3b591c7735305d6edce722ebe97c26bde1a4933995654ae2c91511,156
tables/translation_provenance_long.csv,c88bffa6a010f5197b9827badf7be0080389056890b6d7d3a23d4db6f9360e79,4897
